Mes/Año	   	1º Matrícula	Última Matrícula

Abr/2013	0000 HPY	9999 HPY
May/2013	0000 HQZ	9999 HRK
Jun/2013	0000 HSK	9999 HRX
Jul/2013	0000 HSL	9999 HSK
Ago/2013	0000 HSM	9999 HSR
Sep/2013	0000 HSS	9999 HSZ
Oct/2013	0000 HST	9999 HTK
Nov/2013	0000 HTL	9999 HTV
Dic/2013	0000 HTW	9999 HVF
Ene/2014	0000 HVN	9999 HVN
Feb/2014	0000 HVZ	9999 HVZ
Mar/2014	0000 HWM	9999 HWM
Abr/2014	0000 HWN	9999 HWY
May/2014	0000 HWO	9999 HXN
Jun/2014	0000 HYX	9999 HYD
Jul/2014	0000 HYZ	9999 HYT
Ago/2014	0000 HZB	9999 HZB
Sep/2014	0000 HZC	9999 HZL
Oct/2014	0000 HZM	9999 HZZ
Nov/2014	0000 HZN	9999 JBL
Dic/2014	0000 HZO	9999 JBY
Ene/2015	0000 JCK	9999 JCK
Feb/2015	0000 JCY	9999 JCY
Mar/2015	0000 JDR	9999 JDR
Abr/2015	0000 JFG	9999 JFG
May/2015	0000 JFH	9999 JFX
Jun/2015	0000 JGR	9999 JGR
Jul/2015	0000 JGS	9999 JHJ
Ago/2015	0000 JJH	9999 JHT
Sep/2015	0000 JJJ	9999 JJH
Oct/2015	0000 JJJ	9999 JJW
Nov/2015	0000 JKJ	9999 JKK
Dic/2015	0000 JKL	9999 JKZ
Ene/2016	0000 JLN	9999 JLN
Feb/2016	0000 JMF	9999 JMF
Mar/2016	0000 JMG	9999 JMY
Abr/2016	0000 JNH	9999 JNR
May/2016	0000 JPJ	9999 JPK
Jun/2016	0000 JPQ	9999 JRG
Jul/2016	0000 JRH	9999 JRZ
Ago/2016	0000 JSI	9999 JSL
Sep/2016	0000 JSJ	9999 JTB
Oct/2016	0000 JTD	9999 JTR
Nov/2016	0000 JTS	9999 JVH
Dic/2016	0000 JTI	9999 JVZ
Ene/2017	0000 JWN	9999 JWN
Feb/2017	0000 JXF	9999 JXF
Mar/2017	0000 JYB	9999 JYB
Abr/2017	0000 JYT	9999 JYT
May/2017	0000 JZP	9999 JZP
Jun/2017	0000 KBA	9999 KBM
Jul/2017	0000 KBC	9999 KCH
Ago/2017	0000 KCL	9999 KCV
Sep/2017	0000 KDN	9999 KDK
Oct/2017	0000 KDJ	9999 KFC
Nov/2017	0000 KFE	9999 KFW
Dic/2017	0000 KFX	9999 KGN
Ene/2018	0000 KHG	9999 KHG
Feb/2018	0000 KHY	9999 KHY
Mar/2018	0000 KHV	9999 KJV
Abr/2018	0000 KKQ	9999 KKR
May/2018	0000 KLU	9999 KLN
Jun/2018	0000 KLM	9999 KMM
Jul/2018	0000 KMW	9999 KNK
Ago/2018	0000 KNL	9999 KPD
Sep/2018	0000 KPE	9999 KPS
Oct/2018	0000 KRJ	9999 KRJ
Nov/2018	0000 KRK	9999 KRZ
Dic/2018	0000 KSA	9999 KSS
Ene/2019	0000 KTJ	9999 KTJ
Feb/2019	0000 KUB	9999 KVB
Mar/2019	0000 KUV	9999 KVX
Abr/2019	0000 KWT	9999 KWT
May/2019	0000 KWU	9999 KXR
Jun/2019	0000 KXW	9999 KYN
Jul/2019	0000 KYX	9999 KZK
Ago/2019	0000 KYN	9999 KZY
Sep/2019	0000 KZV	9999 LBN
Oct/2019	0000 LCG	9999 LCG
Nov/2019	0000 LCZ	9999 LCY
Dic/2019	0000 LDA	9999 LDR
Ene/2020	0000 LFH	9999 LFH
Feb/2020	0000 LFI	9999 LFY
Mar/2020	0000 LGG	9999 LGG
Abr/2020	0000 LGH	9999 LGH
May/2020	0000 LGI	9999 LGP
Jun/2020	0000 LHJ	9999 LHG
Jul/2020	0000 LJH	9999 LJD
Ago/2020	0000 LJE	9999 LJR
Sep/2020	0000 LJT	9999 LKF
Oct/2020	0000 LJU	9999 LKV
Nov/2020	0000 LJV	9999 LLJ
Dic/2020	0000 LLK	9999 LMC
Ene/2021	0000 LML	9999 LML
Feb/2021	0000 LMN	9999 LMX
Mar/2021	0000 LMP	9999 LNN
Abr/2021	0000 LMQ	9999 LPD
May/2021	0000 LRE	9999 LPW
Jun/2021	0000 LPW	9999 LRP
Jul/2021	0000 LSD	9999 LSG
Ago/2021	0000 LSF	9999 LSR
Sep/2021	0000 LSU	9999 LTD
Oct/2021	0000 LTV	9999 LTP
Nov/2021	0000 LUF	9999 LVD
Dic/2021	0000 LUE	9999 LVV
Ene/2022	0000 LWD	9999 LWD
Feb/2022	0000 LWE	9999 LWR
Mar/2022	0000 LWF	9999 LXD
Abr/2022	0000 LXX	9999 LXS
May/2022	0000 LYJ	9999 LYJ
Jun/2022	0000 LYK	9999 LYZ
Jul/2022	0000 LZQ	9999 LZP
Ago/2022	0000 LZR	9999 LZZ
Sep/2022	0000 MBB	9999 MBN
Oct/2022	0000 MBP	9999 MCB
Nov/2022	0000 MCC	9999 MCR
Dic/2022	0000 MCS	9999 MDF
Ene/2023	0000 MDS	9999 MDS
Feb/2023	0000 MFE	9999 MFG
Mar/2023	0000 MFB	9999 MFZ
Abr/2023	0000 MFZ	9999 MGN
May/2023	0000 MGS	9999 MHG
Jun/2023	0000 MHJ	9999 MHG
Jul/2023	0000 MHJ	9999 MJB
Ago/2023	0000 MKC	9999 MJR
Sep/2023	0000 MKF	9999 MKD
Oct/2023	0000 MKE	9999 MKR
Nov/2023	0000 MKX	9999 MLH
Dic/2023	0000 MLY	9999 MLY
Ene/2024	0000 MLZ	9999 MNC
Feb/2024	0000 MND	9999 MNT
Mar/2024	0000 MNU	9999 MPL
Abr/2024	0000 MNV	9999 MRD
May/2024	0000 MRY	9999 MRX
Jun/2024	0000 MSN	9999 MSS
Jul/2024	0000 MST	9999 MTK
Ago/2024	0000 MSU	9999 MTW
Sep/2024	0000 MVL	9999 MVL
Oct/2024	0000 MVY	9999 MWD
Nov/2024	0000 MWX	9999 MWV
Dic/2024	0000 MWZ	9999 MXP
Ene/2025	0000 MXR	9999 MYF
Feb/2025	0000 MYG	9999 MYW
Mar/2025	0000 MYX	9999 MZS
Abr/2025	0000 MZT	9999 NBG
